Date,SIM-KS10 KLİMA,Interval Total
2022-12-24,886.241231000284,886.241231000284
2022-12-25,886.241230999818,886.241230999818
2022-12-26,886.241230000043,886.241230000043
2022-12-27,886.24122999981,886.24122999981
2022-12-28,886.241231000284,886.241231000284
2022-12-29,886.241230999818,886.241230999818
2022-12-30,886.241230000043,886.241230000043
2022-12-31,886.241230000043,886.241230000043
2023-01-01,886.241231000284,886.241231000284
2023-01-02,886.241230999818,886.241230999818
2023-01-03,886.241230999585,886.241230999585
2023-01-04,886.241230000276,886.241230000276
2023-01-05,886.241230000276,886.241230000276
2023-01-06,886.241230999818,886.241230999818
2023-01-07,886.241230999818,886.241230999818
2023-01-08,886.241230000276,886.241230000276
2023-01-09,886.241230000043,886.241230000043
2023-01-10,886.241229999578,886.241229999578
2023-01-11,886.241232000059,886.241232000059
2023-01-12,886.241231000284,886.241231000284
2023-01-13,880.086775999749,880.086775999749
2023-01-14,883.164004000137,883.164004000137
2023-01-15,877.009551999858,877.009551999858
2023-01-16,886.241230000276,886.241230000276
2023-01-17,886.241230000043,886.241230000043
2023-01-18,886.241230999585,886.241230999585
2023-01-19,883.164004000369,883.164004000369
2023-01-20,883.164003999904,883.164003999904
2023-01-21,886.24122999981,886.24122999981
2023-01-22,886.241232000291,886.241232000291
2023-01-23,886.241230999818,886.241230999818
2023-01-24,886.241228000261,886.241228000261
2023-01-25,886.241231999826,886.241231999826
2023-01-26,880.086776999757,880.086776999757
2023-01-27,886.241231000284,886.241231000284
2023-01-28,883.164004000369,883.164004000369
2023-01-29,877.009550999617,877.009550999617
2023-01-30,886.241231000051,886.241231000051
2023-01-31,886.24122999981,886.24122999981
2023-02-01,886.241230999818,886.241230999818
2023-02-02,870.855097000021,870.855097000021
2023-02-03,886.241231000051,886.241231000051
2023-02-04,886.241231000517,886.241231000517
2023-02-05,886.241229999578,886.241229999578
2023-02-06,880.086777000222,880.086777000222
2023-02-07,886.241231999826,886.241231999826
2023-02-08,886.241231000051,886.241231000051
2023-02-09,886.241228000028,886.241228000028
2023-02-10,886.241232000059,886.241232000059
2023-02-11,886.241230000043,886.241230000043
2023-02-12,886.241230999585,886.241230999585
2023-02-13,886.241231000051,886.241231000051
2023-02-14,886.241229000501,886.241229000501
2023-02-15,886.241230999818,886.241230999818
2023-02-16,886.241231999826,886.241231999826
2023-02-17,886.241230000043,886.241230000043
2023-02-18,886.241229000269,886.241229000269
2023-02-19,886.241231999593,886.241231999593
2023-02-20,886.241230000043,886.241230000043
2023-02-21,886.241231000284,886.241231000284
2023-02-22,886.241231000051,886.241231000051
2023-02-23,886.241228999803,886.241228999803
2023-02-24,886.241230999585,886.241230999585
2023-02-25,886.241231000749,886.241231000749
2023-02-26,886.24122999981,886.24122999981
2023-02-27,886.24122999981,886.24122999981
2023-02-28,886.241231000051,886.241231000051
2023-03-01,886.241231000051,886.241231000051
2023-03-02,886.241230999818,886.241230999818
2023-03-03,886.241230000043,886.241230000043
2023-03-04,886.241230000043,886.241230000043
2023-03-05,886.241231000051,886.241231000051
2023-03-06,886.241230999818,886.241230999818
2023-03-07,886.241230000276,886.241230000276
2023-03-08,886.241229999578,886.241229999578
2023-03-09,886.241231000517,886.241231000517
2023-03-10,886.241230999818,886.241230999818
2023-03-11,886.241230000043,886.241230000043
2023-03-12,886.241230999585,886.241230999585
2023-03-13,886.241230000276,886.241230000276
2023-03-14,886.241230000043,886.241230000043
2023-03-15,883.164003999671,883.164003999671
2023-03-16,886.241231000517,886.241231000517
2023-03-17,886.241230999818,886.241230999818
2023-03-18,886.241230999818,886.241230999818
2023-03-19,886.241229000269,886.241229000269
2023-03-20,886.241231000051,886.241231000051
2023-03-21,886.241230999818,886.241230999818
2023-03-22,886.241230999585,886.241230999585
2023-03-23,886.241230000509,886.241230000509
2023-03-24,883.164003999671,883.164003999671
2023-03-25,886.241232000291,886.241232000291
2023-03-26,886.241229000269,886.241229000269
2023-03-27,877.009550999617,877.009550999617
2023-03-28,886.241230000043,886.241230000043
2023-03-29,886.241231000517,886.241231000517
2023-03-30,886.241230999585,886.241230999585
2023-03-31,886.241228999803,886.241228999803
2023-04-01,886.241232000291,886.241232000291
2023-04-02,870.855095999548,870.855095999548
2023-04-03,886.241232000291,886.241232000291
2023-04-04,886.241231000051,886.241231000051
2023-04-05,886.241230000043,886.241230000043
2023-04-06,886.241231000051,886.241231000051
2023-04-07,886.241230000043,886.241230000043
2023-04-08,883.164003999671,883.164003999671
2023-04-09,886.241231000517,886.241231000517
2023-04-10,817.738426999655,817.738426999655
2023-04-11,750,750
2023-04-12,749,749
2023-04-13,753,753
2023-04-14,762,762
2023-04-15,771,771
2023-04-16,803,803
2023-04-17,771,771
2023-04-18,751,751
2023-04-19,754,754
2023-04-20,757,757
2023-04-21,766,766
2023-04-22,770,770
2023-04-23,762,762
2023-04-24,768,768
2023-04-25,781,781
2023-04-26,775,775
2023-04-27,766,766
2023-04-28,760,760
2023-04-29,764,764
2023-04-30,771,771
2023-05-01,773,773
2023-05-02,786,786
2023-05-03,781,781
2023-05-04,769,769
2023-05-05,752,752
2023-05-06,744,744
2023-05-07,745,745
2023-05-08,749,749
2023-05-09,748,748
2023-05-10,746,746
2023-05-11,759,759
2023-05-12,768,768
2023-05-13,770,770
2023-05-14,772,772
2023-05-15,790,790
2023-05-16,805,805
2023-05-17,789,789
2023-05-18,782,782
2023-05-19,764,764
2023-05-20,783,783
2023-05-21,788,788
2023-05-22,796,796
2023-05-23,792,792
2023-05-24,800,800
2023-05-25,802,802
2023-05-26,810,810
2023-05-27,786,786
2023-05-28,799,799
2023-05-29,931,931
2023-05-30,824,824
2023-05-31,806,806
2023-06-01,824,824
2023-06-02,806,806
2023-06-03,775,775
2023-06-04,759,759
2023-06-05,756,756
2023-06-06,768,768
2023-06-07,764,764
2023-06-08,765,765
2023-06-09,761,761
2023-06-10,755,755
2023-06-11,760,760
2023-06-12,769,769
2023-06-13,761,761
2023-06-14,752,752
2023-06-15,748,748
2023-06-16,758,758
2023-06-17,757,757
2023-06-18,755,755
2023-06-19,755,755
2023-06-20,759,759
2023-06-21,757,757
2023-06-22,764,764
2023-06-23,768,768
2023-06-24,776,776
2023-06-25,769,769
2023-06-26,764,764
2023-06-27,775,775
2023-06-28,783,783
2023-06-29,760,760
2023-06-30,755,755
2023-07-01,767,767
2023-07-02,777,777
2023-07-03,788,788
2023-07-04,792,792
2023-07-05,780,780
2023-07-06,794,794
2023-07-07,783,783
2023-07-08,768,768
2023-07-09,755,755
2023-07-10,767,767
2023-07-11,779,779
2023-07-12,796,796
2023-07-13,823,823
2023-07-14,846,846
2023-07-15,822,822
2023-07-16,804,804
2023-07-17,807,807
2023-07-18,798,798
2023-07-19,803,803
2023-07-20,821,821
2023-07-21,814,814
2023-07-22,821,821
2023-07-23,827,827
2023-07-24,805,805
2023-07-25,813,813
2023-07-26,899,899
2023-07-27,807,807
2023-07-28,776,776
2023-07-29,782,782
2023-07-30,787,787
2023-07-31,797,797
2023-08-01,790,790
2023-08-02,791,791
2023-08-03,829,829
2023-08-04,838,838
2023-08-05,811,811
2023-08-06,821,821
2023-08-07,803,803
2023-08-08,656,656
2023-08-14,4837,4837
2023-08-15,793,793
2023-08-16,802,802
2023-08-17,804,804
2023-08-18,813,813
2023-08-19,805,805
2023-08-20,812,812
2023-08-21,816,816
2023-08-22,830,830
2023-08-23,843,843
2023-08-24,872,872
2023-08-25,920,920
2023-08-26,963,963
2023-08-27,950,950
2023-08-28,925,925
2023-08-29,846,846
2023-08-30,836,836
2023-08-31,843,843
2023-09-01,826,826
2023-09-02,833,833
2023-09-03,824,824
2023-09-04,817,817
2023-09-05,820,820
2023-09-06,816,816
2023-09-07,816,816
2023-09-08,806,806
2023-09-09,797,797
2023-09-10,792,792
2023-09-11,791,791
2023-09-12,786,786
2023-09-13,780,780
2023-09-14,785,785
2023-09-15,783,783
2023-09-16,791,791
2023-09-17,793,793
2023-09-18,786,786
2023-09-19,790,790
2023-09-20,783,783
2023-09-21,785,785
2023-09-22,788,788
2023-09-23,803,803
2023-09-24,800,800
2023-09-25,778,778
2023-09-26,951,951
2023-09-27,936,936
2023-09-28,918,918
2023-09-29,906,906
2023-09-30,908,908
2023-10-01,898,898
2023-10-02,851,851
2023-10-03,798,798
2023-10-04,782,782
2023-10-05,766,766
2023-10-06,764,764
2023-10-07,782,782
2023-10-08,769,769
2023-10-09,757,757
2023-10-10,758,758
2023-10-11,748,748
2023-10-12,767,767
2023-10-13,786,786
2023-10-14,792,792
2023-10-15,790,790
2023-10-16,785,785
2023-10-17,782,782
2023-10-18,789,789
2023-10-19,787,787
2023-10-20,797,797
2023-10-21,807,807
2023-10-22,796,796
2023-10-23,807,807
2023-10-24,797,797
2023-10-25,798,798
2023-10-26,805,805
2023-10-27,794,794
2023-10-28,796,796
2023-10-29,784,784
